mol_idx,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
403,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cccc(Cl)c3)cs2)cc1,30.0,9.3717,2.0532,7.1704,-17.4228,-97.0609,-109.8986
406,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,30.0,9.0918,2.1129,6.8741,-17.4424,-93.5411,-106.1472
407,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,30.0,9.1931,2.2005,7.693,-15.8976,-101.1054,-110.0685
408,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccc(F)cc3)cs2)cc1,30.0,9.4511,2.1209,7.6843,-18.2335,-100.0296,-113.5935
470,N#Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,30.0,9.0863,2.1927,6.7121,-24.9873,-98.2502,-118.4738
491,O=C(Nc1nc(-c2ccc(F)cc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1,30.0,9.1456,2.2164,8.9812,-18.4896,-109.7054,-123.5708
492,O=C(Nc1nc(-c2ccc(F)cc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1Cl,30.0,8.5282,2.2769,7.9256,-17.6987,-100.9066,-114.0945
788,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cccc(F)c3)cs2)cc1,27.0,9.4132,2.012,7.76,-18.2243,-100.7597,-115.2394
818,Nc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,25.0,8.3751,3.538,7.3036,-20.1673,-106.8149,-121.3498
969,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1,20.0,9.2312,2.0264,8.0225,-19.2199,-103.4995,-116.2838
972,Cc1cc(F)ccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,20.0,10.2613,2.2022,8.4288,-18.2171,-108.4544,-119.4077
973,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1,20.0,9.602,1.943,9.3433,-16.3728,-112.3383,-114.7558
999,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1Cl,19.0,8.4871,2.3199,7.8938,-17.6925,-100.9061,-114.1529
1017,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(Cl)cc1,18.17,8.9233,2.0153,7.2026,-18.4293,-97.0064,-108.7322
1090,COc1ccccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,16.0,9.9389,2.1999,7.6117,-19.2793,-103.9057,-117.7739
1134,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1Cl,14.97,8.2427,2.0834,6.3583,-18.4328,-88.6666,-104.4471
1147,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,14.33,9.0874,1.9964,6.1267,-18.9687,-88.1609,-103.6619
1166,N#Cc1cccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c1,14.0,9.0219,2.1193,6.6691,-24.9859,-97.801,-118.5968
1167,Cc1ccccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,14.0,9.4732,2.0987,6.4131,-18.9777,-91.0515,-103.7755
1206,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc1,13.0,9.4242,2.0764,7.2031,-17.4204,-97.4831,-110.6405
1211,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1,13.0,8.6227,1.9818,6.0372,-19.9652,-87.0908,-103.9042
1282,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)c(F)c1,11.0,8.7911,2.0012,8.574,-18.4901,-106.0364,-117.431
1347,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3F)cs2)cc1,9.9,9.7706,2.0603,8.0933,-18.2102,-104.3629,-118.3493
1527,Cc1ccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)cc1,7.3,9.5181,1.9626,6.2075,-17.9722,-88.9891,-103.2488
1550,N#Cc1ccccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,7.0,8.7715,2.1577,6.6575,-24.9742,-97.6322,-120.417
1551,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1F,7.0,8.4843,2.1512,7.1783,-19.2241,-94.8632,-111.9338
1569,COc1cccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c1,6.7,10.2285,2.1582,8.0815,-19.2776,-108.6999,-121.0421
1589,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1F,6.5,8.6523,2.3296,8.5598,-18.4915,-105.3068,-119.8384
1629,Cc1cccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c1,6.0,9.2105,2.1029,6.3272,-18.9785,-90.0024,-103.0316
1654,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cccc(C)c3)cs2)cc1,5.8,9.5065,1.9628,6.2288,-17.9711,-89.2578,-103.448
1665,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1c(F)cc(F)cc1F,5.7,8.001,2.1687,8.8695,-17.7568,-105.3418,-123.0878
1736,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1cccc(Cl)c1,5.0,8.6842,1.923,6.8905,-18.4368,-93.463,-106.0825
1767,COc1ccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)cc1,4.7,10.655,1.9392,8.1105,-18.2816,-108.5915,-119.5926
1788,CCc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,4.4,10.1094,2.0682,6.8497,-17.8512,-96.3542,-107.1011
1923,CCCc1ccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)cc1,3.3,10.8668,1.9417,6.9642,-15.7488,-97.5647,-105.6147
2168,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccc(C)c(C)c3)cs2)cc1,2.1,10.4461,2.1141,6.8827,-16.9703,-96.3767,-106.0269
2240,COc1cccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)c1,1.85,10.3566,1.8966,7.8009,-18.2894,-105.2776,-117.3593
2375,COc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,1.6,9.8338,1.98,7.4455,-19.2818,-101.9214,-118.0203
219,Cc1ccnc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)c1,30.0,9.7188,0.7338,7.4684,-4.8664,-91.7107,-79.3106
228,Cc1ccnc(NC(=S)N2CCN(c3ccc(N)cc3)CC2)c1,30.0,7.6453,1.7365,4.4439,-8.6724,-76.5264,-80.8279
243,Cc1cc(C)nc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,30.0,10.1555,0.7673,7.6672,-3.8562,-93.7301,-79.384
244,FC(F)(F)c1ccc(N2CCN(C(=S)Nc3ccccn3)CC2)cc1,30.0,8.8998,0.6384,6.8657,-5.8715,-84.9592,-75.7721
245,COC(=O)c1ccnc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,30.0,11.1691,0.7098,9.6161,-5.7265,-114.2467,-97.2693
260,Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(F)cc3F)CC2)c1,30.0,9.7985,0.7193,7.1421,-5.9751,-88.9754,-86.1952
262,Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3[N+](=O)[O-])CC2)c1,30.0,11.0981,0.721,9.4634,-4.8274,-108.1687,-93.5434
272,Cc1ccnc(NC(=S)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)c1,30.0,10.3458,0.7199,9.9905,-1.2652,-109.7875,-88.5594
273,Cc1ccnc(NC(=S)N2CCN(c3ccc(Cl)cc3Cl)CC2)c1,30.0,8.7247,0.6327,5.3811,-5.3983,-74.4821,-73.069
274,Cc1ccnc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3[N+](=O)[O-])CC2)c1,30.0,11.0548,0.8355,9.7647,-5.8232,-112.1171,-97.3911
276,COc1ccnc(NC(=S)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)c1,30.0,10.9633,0.7323,11.1096,-1.5857,-121.4429,-101.2091
278,Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3Cl)CC2)c1,30.0,10.2802,0.7542,8.2394,-2.3214,-97.9968,-81.5919
279,Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(Cl)cc3F)CC2)c1,30.0,9.3785,0.7097,6.3167,-5.1866,-82.3136,-78.7821
734,COc1ccnc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,30.0,10.6895,0.783,8.952,-5.1731,-107.4624,-94.7173
736,Cc1ccnc(NC(=S)N2CCN(c3cc(Cl)cc(Cl)c3)CC2)c1,30.0,8.0648,0.6228,4.9692,-5.4091,-70.2451,-71.481
750,Cc1cc(C)nc(NC(=S)N2CCN(c3cccc(OC(F)F)c3)CC2)c1,30.0,10.0471,0.6418,7.067,-5.0431,-90.4438,-77.8198
834,Cc1ccnc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,24.0,9.7669,0.7561,7.5476,-4.8631,-92.4433,-79.53
837,Cc1ccnc(NC(=S)N2CCN(c3ccc(Cl)c(Cl)c3)CC2)c1,24.0,7.8482,0.602,4.6692,-5.4111,-67.39,-68.1245
925,Cc1ccnc(NC(=S)N2CCN(c3cc(F)cc(Cl)c3)CC2)c1,21.0,8.3848,0.611,5.7128,-6.2002,-75.8517,-78.1088
961,COc1ccnc(NC(=S)N2CCN(c3ccc(Cl)c(Cl)c3)CC2)c1,20.0,9.0811,0.7438,6.4555,-5.7138,-86.9373,-86.1512
1040,COc1cccc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)n1,17.6,10.293,0.6607,8.3353,-5.1738,-100.4721,-84.6546
1053,Cc1cc(C)nc(NC(=S)N2CCN(c3cccc([N+](=O)[O-])c3)CC2)c1,17.0,10.227,0.7306,6.7264,-8.4288,-88.9313,-84.6684
1104,FC(F)(F)c1cccc(N2CCN(C(=S)Nc3ccccn3)CC2)c1,15.49,9.0003,0.6448,7.0489,-5.8637,-86.767,-76.7934
1114,Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(Cl)cc3[N+](=O)[O-])CC2)c1,15.0,10.5623,0.7558,7.4587,-6.8896,-94.0063,-88.1217
1540,Cc1ccnc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)C[C@@H]2C)c1,7.12,10.3859,0.642,7.5861,-3.7422,-93.1977,-79.111
1979,COc1ccnc(NC(=S)N2CCN(c3ccccc3C(F)(F)F)CC2)c1,2.9,10.7634,0.7591,8.9152,-5.1682,-106.2818,-93.6015
2076,Cc1ccnc(NC(=S)N2CCN(c3cccc(Cl)c3Cl)CC2)c1,2.4,7.9313,0.6231,4.7274,-5.4093,-67.8976,-67.1743
2195,Cc1ccnc(NC(=S)N2CCN(c3ccccc3C(F)(F)F)CC2)c1,2.0,9.4587,0.6458,7.1637,-4.8627,-86.8377,-74.9226
82,COc1cccc(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)c1O,30.0,8.1846,2.4057,7.1217,-12.1428,-93.519,-100.4099
357,O=S(=O)(Nc1nccs1)c1ccc(NCc2cccc(O)c2)cc1,30.0,7.3691,2.5714,6.2124,-12.8176,-84.8917,-92.2491
361,COc1ccc(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)cc1O,30.0,8.2937,2.5012,7.3901,-12.1347,-97.0804,-103.3652
369,Nc1ccccc1CNc1ccc(S(=O)(=O)Nc2nccs2)cc1,30.0,7.1785,2.9957,5.7377,-12.6687,-86.6442,-93.4801
374,COc1ccc(O)c(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)c1,30.0,8.7045,2.3825,7.712,-12.1311,-100.5662,-107.0447
