half-life,sdc,sdx,sa,dga,dgp,dgtot
0.0033169983665033167,11.3305,0.0,3.3351,-4.054,-69.5826,-60.2942
0.0033169983665033167,15.4391,0.5874,6.0365,-7.2372,-129.4381,-106.4548
0.005233856719005233,8.5183,1.2648,4.2217,4.2005,-82.5022,-78.3017
0.0033169983665033167,8.8531,0.7032,3.2527,0.5544,-70.151,-60.6489
0.0,1.0664,2.4269,2.4358,-2.9567,-49.285,-50.729
0.0299029902990299,5.1441,3.916,4.1986,-8.3642,-87.8498,-90.5882
0.0015668233490015668,12.4831,10.1146,12.7857,24.806,-255.054,-216.1788
0.0016501650165016502,9.5852,1.2769,3.2877,1.3794,-71.0228,-69.6434
0.0018168483515018166,6.4623,1.198,2.6512,2.6165,-55.3535,-52.737
0.0015668233490015668,15.2433,2.4607,7.2395,3.0824,-153.994,-123.733
0.0016501650165016502,13.4056,4.8401,8.2278,-6.5378,-167.6799,-161.9076
0.0018168483515018166,11.5192,1.9132,6.1076,-14.0573,-124.8395,-123.4074
0.0019001900190018998,13.6379,1.5189,5.5568,3.7396,-126.0532,-105.3988
0.0019835316865019835,7.2287,1.1557,2.8231,6.2619,-59.5355,-53.2735
0.0021502150215021503,7.1993,0.0,2.8508,-14.3055,-55.1745,-54.1737
0.004567123379004566,7.6272,0.6241,3.2192,-7.9556,-65.067,-63.4288
0.004733806714004733,11.1861,0.8273,4.5247,-8.5347,-94.0657,-95.6386
0.00024169083575024166,4.9619,3.1247,3.5192,4.0512,-74.3618,-70.3106
0.002566923359002567,4.436,0.6224,0.9562,3.205,-23.1129,-19.9079
0.004233756709004233,10.5256,0.0,5.8299,-10.5602,-111.9993,-84.6626
0.029069573624029066,10.5313,0.701,3.5263,-0.3319,-79.8692,-80.2011
0.0299029902990299,13.0942,5.3632,8.8647,-5.4033,-190.0139,-189.9761
0.0014001400140014,8.7426,2.7302,5.0969,9.554,-104.348,-94.7941
0.0027336066940027333,6.5929,1.2718,2.6135,0.1072,-55.321,-55.2138
0.0009000900090008999,8.8141,5.486,7.6616,-10.8677,-151.8775,-153.0982
0.00265026502650265,11.9446,2.3323,6.3036,-4.3562,-124.1927,-116.4427
0.004817148381504817,8.9383,0.9735,3.8076,4.727,-81.9989,-53.6841
0.0018168483515018166,14.032,0.9507,4.9008,-3.7561,-105.6537,-99.3945
0.011567823449011567,6.6856,0.0,1.8839,-5.4032,-36.2504,-37.083
0.014068073474014066,9.5362,0.0,4.0121,-6.9227,-78.3126,-54.0742
0.0031503150315031502,13.64,1.0743,7.0089,-4.3146,-135.6614,-107.615
0.004150415041504149,8.3871,1.7394,5.4404,-6.0759,-107.7825,-99.1897
0.0024835816915024836,7.3622,0.0,2.6814,-15.0491,-54.6088,-61.8968
0.0017335066840017336,5.1561,0.5952,1.6561,-4.3786,-30.9795,-35.3581
0.0009000900090008999,8.5992,4.1728,6.1332,-7.2258,-126.2508,-126.7374
