Y,sdc,sdx,sa,dga,dgp,dgtot
0.15047619047619049,14.1596,0.5984,4.653,1.9423,-102.5081,-92.3403
0.15442176870748298,4.8164,1.3167,1.9987,-4.003,-38.3835,-42.3866
0.15850340136054422,10.4588,1.9022,4.853,-11.5544,-101.0176,-108.7919
0.07346938775510205,9.5252,0.945,2.6601,-10.8206,-63.8705,-74.6911
0.12503401360544217,9.5252,0.945,2.6601,-10.8206,-63.8705,-74.6911
0.21428571428571427,14.833,1.4363,7.0981,-5.2083,-153.4395,-144.2516
0.38095238095238093,12.6718,1.3544,6.2653,-6.8182,-135.2627,-129.3611
0.5714285714285714,13.4631,1.3764,6.3352,-7.3467,-136.8866,-129.8309
0.03401360544217687,13.9781,2.3457,7.2027,-6.3021,-156.3186,-147.2864
0.0,14.6547,0.6439,6.5433,-11.7591,-128.7276,-118.1929
0.22659863945578232,12.4206,0.6082,5.6764,-8.1853,-108.8151,-98.6566
0.015306122448979591,11.9366,0.7225,5.8013,-13.2001,-108.7719,-109.236
1.0,14.0897,0.7219,6.087,-3.8249,-116.8056,-99.6499
0.7085034013605442,9.8277,2.1958,5.6494,-4.8013,-104.3712,-84.0006
0.9931972789115646,5.7452,0.7036,2.6212,-7.5953,-59.825,-66.9481
0.2504081632653061,16.8397,1.3541,8.339,-5.0309,-162.346,-141.7595
0.08496598639455782,7.8375,1.0138,3.0791,-6.7386,-69.4184,-68.9988
0.1946938775510204,14.5665,1.4574,6.9562,-9.7974,-134.393,-125.7144
0.16272108843537417,14.4901,4.4669,9.4754,1.1503,-181.8222,-153.8483
1.0,8.8827,0.7685,5.0764,-4.7824,-108.4929,-100.611
1.0,9.6152,0.6082,3.975,-17.1187,-77.6089,-72.8221
0.012176870748299321,13.4555,1.8,6.8951,-12.264,-139.9248,-116.8763
0.06326530612244899,9.5446,2.0009,6.1849,-16.8071,-107.5304,-121.8039
0.2608843537414966,8.8057,3.2909,6.2991,-3.2024,-128.8903,-117.2135
0.0,8.8057,3.2909,6.2991,-3.2024,-128.8903,-117.2135
1.0,11.4778,0.8218,3.6992,-8.5095,-79.8749,-79.6283
0.3605442176870748,10.4372,1.748,5.0591,-8.1268,-100.514,-89.249
0.4838775510204081,5.0646,1.559,2.6263,-0.793,-51.7915,-52.5846
0.031224489795918364,6.3469,1.7004,3.6509,0.2739,-72.6103,-72.3364
1.0,6.3469,1.7004,3.6509,0.2739,-72.6103,-72.3364
0.03401360544217687,7.9037,1.3974,3.959,1.344,-76.4587,-66.9426
0.054149659863945585,3.0159,1.9461,2.2064,-9.033,-46.4197,-55.4527
0.09782312925170067,25.3443,3.2252,11.1901,-14.4168,-235.8352,-215.8094
0.05081632653061226,12.8467,1.3508,5.1125,5.4152,-100.3425,-82.9222
0.018707482993197282,2.2214,1.6646,2.1072,-7.2471,-40.6471,-48.8695
0.4838775510204081,3.7145,1.5213,2.5252,-6.1909,-47.6657,-53.7894
0.06136054421768708,3.7145,1.5213,2.5252,-6.1909,-47.6657,-53.7894
1.0,2.8097,3.0162,3.1735,-5.1859,-61.9723,-67.4376
0.09510204081632653,9.964,1.5885,4.6914,-3.2597,-96.2049,-93.2991
1.0,12.1338,0.6134,5.3443,-19.0551,-105.7536,-99.4167
0.07789115646258503,14.5909,0.0,5.7718,-13.5495,-116.1582,-120.1142
0.0,9.104,1.4761,4.8407,5.6149,-97.1148,-78.1306
0.15047619047619049,14.0682,1.5495,5.8777,-6.6494,-129.4246,-116.7377
0.10340136054421768,14.0682,1.5495,5.8777,-6.6494,-129.4246,-116.7377
0.9628571428571427,7.8656,3.5249,5.0384,-3.8683,-104.4684,-102.2934
0.09510204081632653,9.6925,2.1317,4.8062,-23.3604,-91.2655,-105.7836
0.0,20.4067,4.9027,10.2903,-3.1343,-225.2243,-203.0725
0.08843537414965986,12.9619,2.5283,6.961,-12.8586,-140.6641,-144.8521
0.11564625850340135,12.7495,2.5817,6.9383,-12.855,-139.9069,-145.1371
0.17006802721088435,12.9619,2.5283,6.961,-12.8586,-140.6641,-144.8521
0.1564625850340136,12.7495,2.5817,6.9383,-12.855,-139.9069,-145.1371
0.0,10.734,3.4791,5.772,-9.0193,-114.6562,-125.2416
0.009931972789115645,9.1979,1.0583,3.7838,-3.6663,-74.1863,-77.8525
0.006802721088435375,9.1979,1.0583,3.7838,-3.6663,-74.1863,-77.8525
0.02040816326530612,15.3109,0.5909,6.8804,-17.7232,-133.1844,-133.3312
