Y,sdc,sdx,sa,dga,dgp,dgtot
1.0,8.4593,0.8952,4.6988,-7.0676,-90.8942,-77.0521
0.04081632653061225,11.0272,0.6977,4.5028,-1.5611,-95.0364,-95.9702
0.05081632653061226,6.8844,0.4347,1.8229,-5.8909,-34.9239,-40.8148
0.07136054421768707,7.2795,0.0,1.684,-4.8223,-32.442,-37.2643
0.21768707482993196,9.1494,0.0,1.7259,3.9492,-41.6767,-26.0461
0.04081632653061225,8.4441,2.5032,5.4126,-6.2988,-109.8869,-108.4693
0.0,5.3263,2.465,3.6328,-8.3118,-70.875,-72.4215
0.0,13.7738,0.8707,5.5705,-1.7083,-117.0493,-103.6843
0.0,10.7757,2.1824,5.3835,-5.3368,-111.345,-116.1203
0.0,9.0249,1.2151,3.6307,8.6824,-77.3255,-68.6431
0.31972789115646255,8.1939,0.0,2.2403,-3.8826,-44.8355,-47.6959
0.03360544217687075,8.7904,6.0699,8.7643,-7.9196,-175.2644,-159.597
0.8571428571428571,12.9179,3.0756,5.6154,-4.7877,-118.9091,-123.6968
0.20408163265306123,10.4794,1.4908,4.1247,-19.0251,-87.4705,-106.4957
0.022517006802721087,7.6201,0.7108,4.123,-20.2129,-77.4369,-88.8498
0.002108843537414966,4.5016,3.1657,4.2072,-5.2305,-75.4645,-67.3628
0.057687074829931975,5.5637,2.9891,4.4214,-3.0251,-78.5483,-67.3424
0.1845578231292517,2.2852,0.9983,1.8524,-7.0921,-38.6505,-41.5521
0.027210884353741496,15.0766,1.2725,6.7732,-19.512,-135.5762,-143.8056
0.401360544217687,10.8177,3.7146,5.773,-9.3896,-118.0878,-129.0099
0.21768707482993196,11.11,3.3302,5.8168,-9.396,-119.1326,-129.2747
0.2857142857142857,12.0222,3.1729,5.9132,-8.3027,-121.6413,-129.806
0.2993197278911564,9.479,3.7017,5.1676,-8.549,-106.4005,-115.8792
0.2789115646258503,11.6738,3.4516,5.9081,-8.2923,-121.5694,-130.048
1.0,8.8827,0.7685,5.0764,-4.7824,-108.4929,-100.611
0.461156462585034,6.627,0.6715,3.0847,-14.076,-63.6969,-70.5337
0.0,10.8382,2.4554,6.1186,-5.7117,-125.2652,-123.0315
0.035918367346938776,6.7605,2.4757,5.0709,-7.1659,-98.4086,-102.3932
0.0,9.3992,3.4633,6.5643,-9.24,-127.8366,-111.83
0.0,8.4763,2.5344,5.7901,-9.5383,-110.5662,-91.9749
0.619047619047619,10.6299,0.0,3.6253,-3.1935,-80.1716,-53.1295
0.0,9.4249,1.3528,4.7096,6.0908,-111.3511,-76.3443
0.061224489795918366,6.349,3.0176,4.0013,-7.9374,-84.5949,-85.5793
0.07571428571428572,9.0948,0.8985,4.8475,5.2465,-104.9492,-79.7175
0.11224489795918369,3.4559,1.2099,2.723,-10.0498,-58.9654,-61.7762
0.013605442176870746,5.5957,1.5685,3.4489,-13.7414,-67.5433,-79.3233
0.14285714285714285,10.8321,0.7567,4.0192,-7.7282,-77.2508,-77.9284
0.027210884353741496,12.7289,0.0,4.555,-1.6334,-100.6915,-65.1003
0.3895238095238095,6.8056,0.8886,3.0459,-18.3649,-61.7837,-71.3904
0.7788435374149659,6.3877,0.0,1.8902,-2.4338,-39.731,-33.9864
0.10054421768707483,9.5446,2.0009,6.1849,-16.8071,-107.5304,-121.8039
0.04918367346938776,7.0246,0.911,2.3021,-7.6593,-53.6329,-61.2922
0.006802721088435375,7.8656,3.5249,5.0384,-3.8683,-104.4684,-102.2934
0.09523809523809523,10.314,3.9962,5.4648,-8.224,-114.1002,-124.2119
0.108843537414966,11.6791,3.6052,5.9531,-8.2804,-122.1936,-130.9226
0.4081632653061224,10.6172,3.6623,5.5864,-5.8937,-116.7389,-123.8155
0.108843537414966,10.1167,3.9443,5.2665,-7.4402,-109.1214,-117.0365
0.02040816326530612,14.548,0.0,6.383,-6.6548,-136.3149,-97.6753
0.015306122448979591,8.1541,0.7617,2.9993,-12.1349,-68.5306,-73.899
0.0,8.9927,2.3828,4.1701,-3.4135,-91.4739,-94.8874
0.6919047619047618,9.3031,0.772,4.1074,-10.0881,-84.7433,-93.9708
0.25850340136054417,12.1122,0.0,3.6765,6.8163,-83.7209,-49.3029
